customerDomain,Product,skuName,Creation date (PST),status,planName,Renewal date (PST),licensedNumberOfSeats,maximumNumberOfSeats,Customer uid,customerId,subscriptionId
ngceconomics.in,Google Workspace,Google Workspace Business Plus,"April 20, 2021",Suspended,Flexible Plan,-,1,1,SokZW8Fw8sXHJA,C04fdv23d,2717974516
nilamel.com,Google Workspace,Google Workspace Business Starter,"November 11, 2021",Active,Flexible Plan,-,5,5,Ssy1f1OIwFMGh0,C02spl0th,3297934458
nileshwarurbanbank.com,Google Workspace,Google Workspace Business Starter,"July 5, 2021",Active,Flexible Plan,-,8,8,SEvfAQ6FABUYmn,C03790dfc,2937030427
nmsbuilders.com,Google Workspace,G Suite Basic,"December 11, 2020",Suspended,Flexible Plan,-,1,1,SwZTj8pULav1KG,C01nc2ckb,2281007477
nnplacement.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,1,1,SVdALjewrCRwud,C00t4s0wf,3667230530
noblediagnostics.in,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,2,2,SPd1qpnpOurRue,C04ecpvcd,3667634566
noblepublicschool.org,-,-,-,-,-,-,0,0,Ss4w4dIAXJj64U,C02vq2sub,-
novelspice.com,Google Workspace,Google Workspace Business Starter,"July 27, 2021",Active,Flexible Plan,-,1,1,SxTDhzbTYuD9VZ,C01imsnym,2991948427
nrifuture.com,Google Workspace,Google Workspace Business Starter,"August 1, 2021",Suspended,Flexible Plan,-,2,300,S3gfXEvNQMToiT,C033tlcj4,3004958240
nucore.in,Google Workspace,Google Workspace Business Starter,"March 20, 2022",Active,Flexible Plan,-,193,193,SovPKKaLxHKjKN,C01nq65ya,3667319151
oecoman.com,-,-,-,-,-,-,0,0,ShuHW5iu1V8Erg,C043f42ki,-
ogera.in,Google Workspace,G Suite Basic,"October 17, 2019",Suspended,Trial Plan,-,1,1,Snx427HZrVy7zh,C02g5oo1e,1073211422
